dt,Head.x,Head.y,Head.z,LeftHand.x,LeftHand.y,LeftHand.z,RightHand.x,RightHand.y,RightHand.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,Waist.x,Waist.y,Waist.z,LeftKnee.x,LeftKnee.y,LeftKnee.z,RightKnee.x,RightKnee.y,RightKnee.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,RightFoot.x,RightFoot.y,RightFoot.z
0.0112084,0,0,0,-0.3462583,1.333444,0.09070178,0.2019984,1.329479,0.1531553,0.1338158,1.341443,-0.02364326,0,0,0,-0.2567698,1.318467,0.003715102,-0.2824129,0.4535645,0.08983909,0.1029524,0.4834961,0.1415316,-0.2483525,0.04946363,-0.03547999,0.1362942,0.04549801,0.0215722
0.0110285,0,0,0,-0.3457117,1.323392,0.09265449,0.2014682,1.319267,0.1552782,0.1334586,1.332227,-0.02101478,0,0,0,-0.2579057,1.310192,0.005792443,-0.2861735,0.4520247,0.09266824,0.1065585,0.4820218,0.1449375,-0.2483202,0.04936862,-0.03559358,0.1365082,0.04543376,0.02167924
0.0110485,0,0,0,-0.3455541,1.313176,0.09500193,0.201149,1.309573,0.1576706,0.133269,1.323825,-0.01851027,0,0,0,-0.2573045,1.301569,0.008636408,-0.2897702,0.4506727,0.09532817,0.1099196,0.4806299,0.1481592,-0.2485004,0.0495398,-0.03555733,0.1366408,0.04535699,0.02184179
0.0113055,0,0,0,-0.3452847,1.302706,0.09730335,0.2006701,1.298658,0.1600419,0.1330772,1.314736,-0.0159911,0,0,0,-0.258063,1.292712,0.01100943,-0.2935566,0.4494146,0.09813336,0.1134387,0.4792802,0.1510299,-0.2485824,0.04946625,-0.03555591,0.1365659,0.04531646,0.02209782
0.0110408,0,0,0,-0.3448031,1.292229,0.09995337,0.1998798,1.29111,0.1611833,0.1351561,1.305554,-0.01310911,0,0,0,-0.258324,1.283301,0.01276965,-0.2969564,0.448752,0.1002594,0.1169054,0.4777211,0.1536879,-0.2487448,0.049384,-0.0355672,0.1365862,0.04514885,0.02187618
0.011086,0,0,0,-0.3445696,1.281609,0.1029171,0.1994626,1.280759,0.163571,0.136618,1.296934,-0.00947623,0,0,0,-0.2582464,1.27306,0.01585725,-0.3004926,0.4478508,0.1025412,0.1201209,0.4765618,0.1558155,-0.2488361,0.04935718,-0.03550601,0.1366995,0.04505885,0.02187546
0.0109601,0,0,0,-0.3445566,1.270951,0.1057021,0.1992251,1.27136,0.1653976,0.1367149,1.287641,-0.006711923,0,0,0,-0.2581277,1.263516,0.01731694,-0.3041266,0.4472365,0.103916,0.1233513,0.4751655,0.1583406,-0.2489017,0.04944348,-0.03568254,0.1371968,0.04557848,0.02197569
0.0114285,0,0,0,-0.344562,1.260651,0.1086838,0.1994979,1.261285,0.1674255,0.1374723,1.278715,-0.003710017,0,0,0,-0.2583798,1.253954,0.01947519,-0.3077002,0.4462659,0.1054877,0.126476,0.4736918,0.1598904,-0.2489452,0.04938245,-0.03579112,0.1372675,0.04558361,0.02198876
0.0113862,0,0,0,-0.3443326,1.250147,0.1114613,0.1989823,1.250684,0.1692671,0.1375225,1.269035,-0.0007345304,0,0,0,-0.2587059,1.243983,0.02110409,-0.31134,0.4448375,0.1061052,0.1296691,0.4727093,0.162412,-0.2489254,0.04946268,-0.03594159,0.1373989,0.04575384,0.02198293
0.0105751,0,0,0,-0.3442313,1.239419,0.1146173,0.199706,1.240465,0.1734796,0.1378831,1.259109,0.002563007,0,0,0,-0.2590398,1.233967,0.0230624,-0.3149015,0.4432925,0.1075882,0.1332787,0.4714872,0.1639098,-0.249092,0.04941034,-0.03616234,0.1376882,0.04578626,0.02196883
