Head.x,Head.y,Head.z,LeftHand.x,LeftHand.y,LeftHand.z,RightHand.x,RightHand.y,RightHand.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,Waist.x,Waist.y,Waist.z,LeftKnee.x,LeftKnee.y,LeftKnee.z,RightKnee.x,RightKnee.y,RightKnee.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,RightFoot.x,RightFoot.y,RightFoot.z
0.0111645,0,0,0,-0.3248212,1.413482,0.1586007,0.1355081,1.389078,0.1658122,0.1242521,1.420086,-0.05412623,0,0,0,-0.2589477,1.393623,-0.00340113,-0.2135496,0.5122937,0.00982517,0.05742604,0.4935218,0.05981886,-0.2886734,0.05002391,-0.01547953,0.1823699,0.05527318,0.04975069
0.0109008,0,0,0,-0.3245905,1.413642,0.157283,0.1356855,1.389396,0.1661853,0.1246641,1.420013,-0.05383481,0,0,0,-0.2582815,1.393231,-0.004410584,-0.2122999,0.5131192,0.01061785,0.05909443,0.4930627,0.05960464,-0.2886309,0.05001438,-0.01544954,0.1836459,0.05557644,0.05108166
0.0113016,0,0,0,-0.3240344,1.414222,0.1556092,0.1360446,1.389683,0.1664874,0.126413,1.420285,-0.05324844,0,0,0,-0.2578908,1.393416,-0.005460143,-0.2118605,0.5128983,0.01015089,0.06034964,0.4927207,0.05915225,-0.2887325,0.05006647,-0.01553136,0.1844323,0.05530906,0.05240873
0.0108643,0,0,0,-0.3235265,1.414387,0.1541508,0.1366276,1.389925,0.1673077,0.1276329,1.420062,-0.05243747,0,0,0,-0.2569566,1.393078,-0.006507374,-0.2113037,0.5128366,0.01009137,0.06177938,0.4921504,0.05862815,-0.2887066,0.0500859,-0.01557603,0.1852979,0.05458939,0.05338957
0.0111946,0,0,0,-0.3225055,1.41449,0.151853,0.1378393,1.39031,0.1682318,0.1284435,1.419531,-0.05195732,0,0,0,-0.281328,1.407307,-0.01138641,-0.2107109,0.5130138,0.009588491,0.06275976,0.4914713,0.05821504,-0.2889167,0.05030584,-0.01572928,0.1864992,0.05371571,0.054097
0.0110196,0,0,0,-0.3215923,1.414439,0.1497997,0.1391568,1.390839,0.1691555,0.1298946,1.419265,-0.05096163,0,0,0,-0.2807397,1.40729,-0.01285521,-0.2100459,0.5130188,0.009379376,0.06389397,0.4906349,0.05815702,-0.2888908,0.05045497,-0.01574529,0.1877126,0.05240643,0.05507385
0.011226,0,0,0,-0.320401,1.414351,0.1478629,0.1406,1.391294,0.170043,0.1319711,1.419444,-0.05023219,0,0,0,-0.2748744,1.407251,-0.01099856,-0.2094494,0.5131341,0.009231623,0.06514484,0.4899843,0.05798758,-0.2888826,0.05052924,-0.01577246,0.1884075,0.05079496,0.05585537
0.0112455,0,0,0,-0.3190406,1.414045,0.1458733,0.1427023,1.39192,0.1714342,0.134227,1.419008,-0.04872338,0,0,0,-0.2736961,1.407357,-0.01203565,-0.2089851,0.5128798,0.00907978,0.06677818,0.4889015,0.05849933,-0.288938,0.05052209,-0.01586471,0.1888421,0.04872906,0.05653707
0.0109415,0,0,0,-0.3180642,1.414044,0.1438928,0.1443984,1.392706,0.1724198,0.1363285,1.418927,-0.04771462,0,0,0,-0.2684907,1.405093,-0.01241056,-0.2081043,0.5127695,0.009261545,0.06808782,0.4879727,0.05877291,-0.2888314,0.05067503,-0.01584048,0.1891306,0.04786098,0.05675497
0.0110778,0,0,0,-0.3169366,1.413939,0.141964,0.1463183,1.393354,0.173873,0.1390399,1.418378,-0.04591864,0,0,0,-0.2664142,1.405072,-0.0132124,-0.2072908,0.5125158,0.009484544,0.06963682,0.4871197,0.05914956,-0.2889188,0.0507493,-0.01580261,0.1888784,0.04812956,0.05670416
0.0110404,0,0,0,-0.315552,1.413761,0.140074,0.1485491,1.393903,0.1755499,0.1410254,1.418031,-0.04465269,0,0,0,-0.2643288,1.405094,-0.01400657,-0.2060943,0.5123757,0.009786043,0.07090032,0.4863197,0.05974207,-0.2886947,0.05096042,-0.01578671,0.1880365,0.04963696,0.05490925
0.0110885,0,0,0,-0.3143246,1.413406,0.1384504,0.1507483,1.394295,0.1769976,0.1430205,1.417683,-0.04338056,0,0,0,-0.2560275,1.402096,-0.01489521,-0.2047274,0.5119331,0.01023387,0.07230395,0.4856452,0.05977179,-0.2885776,0.05096352,-0.0157236,0.1875641,0.0488292,0.05455837
0.0111664,0,0,0,-0.3129922,1.413229,0.1371892,0.153093,1.394524,0.1788621,0.1476865,1.416962,-0.04033595,0,0,0,-0.2530295,1.402201,-0.01555596,-0.203034,0.5118264,0.01072717,0.07400125,0.4854048,0.06028264,-0.2885709,0.05105627,-0.01572697,0.1869473,0.04897761,0.05507399
0.0128701,0,0,0,-0.311601,1.412838,0.1352717,0.1555983,1.39478,0.1806453,0.1517981,1.416541,-0.03775899,0,0,0,-0.2499158,1.402396,-0.01615106,-0.2012096,0.5116825,0.01119716,0.07519644,0.484925,0.06016334,-0.2886771,0.051494,-0.01574637,0.1873148,0.04811382,0.05492789
0.009444,0,0,0,-0.3106184,1.412171,0.1337736,0.1582528,1.395059,0.1827801,0.1552253,1.416179,-0.03559899,0,0,0,-0.2447168,1.402175,-0.01722443,-0.1993198,0.5116541,0.01165458,0.07628226,0.4845802,0.06066176,-0.2885692,0.05167878,-0.01573091,0.1881726,0.04787242,0.05491613
0.0109846,0,0,0,-0.3095179,1.411781,0.1322818,0.1610561,1.395259,0.1849897,0.1612462,1.417186,-0.03555771,0,0,0,-0.2413708,1.402652,-0.01773424,-0.1976778,0.5116049,0.01208274,0.0777691,0.4845884,0.06092742,-0.2884593,0.05175328,-0.01568827,0.1896545,0.04751348,0.0543478
0.0112842,0,0,0,-0.3083678,1.411426,0.1309785,0.1637239,1.395445,0.1875786,0.1647628,1.416867,-0.03251304,0,0,0,-0.2379442,1.403284,-0.0181418,-0.1959052,0.5114985,0.01242453,0.07995862,0.4845339,0.06139265,-0.2883135,0.05186236,-0.01557249,0.1907586,0.04777789,0.05405553
0.0109802,0,0,0,-0.3071225,1.411355,0.1302477,0.1665815,1.39595,0.1904301,0.1682522,1.416623,-0.03015991,0,0,0,-0.231203,1.400457,-0.01918107,-0.1938428,0.511552,0.01313716,0.08210117,0.4847043,0.06198488,-0.288302,0.05200887,-0.01540499,0.1909427,0.04746413,0.05441324
0.0112123,0,0,0,-0.3054181,1.410721,0.1292725,0.1692038,1.396009,0.1934384,0.1734837,1.417902,-0.02639907,0,0,0,-0.227883,1.401054,-0.01934717,-0.1919469,0.5115031,0.01341245,0.08398229,0.4840639,0.06252339,-0.2881237,0.0522064,-0.01535659,0.1908966,0.04757619,0.05439489
0.0109776,0,0,0,-0.304482,1.410148,0.1282869,0.1714262,1.395809,0.1965767,0.177056,1.41789,-0.02386757,0,0,0,-0.2223879,1.399672,-0.01967487,-0.1902482,0.5116941,0.01399722,0.08577842,0.4838609,0.06303218,-0.2880827,0.05241382,-0.01520979,0.1907133,0.04709637,0.05409262
0.011254,0,0,0,-0.3030558,1.409721,0.1274382,0.1738347,1.395924,0.1992943,0.1818222,1.417768,-0.0211492,0,0,0,-0.2192504,1.400029,-0.01978195,-0.188597,0.5118198,0.01446752,0.08720809,0.4839597,0.06320798,-0.2877754,0.05264747,-0.0151452,0.190802,0.04705608,0.05412059
0.0109274,0,0,0,-0.3014972,1.409224,0.1267764,0.1761987,1.396276,0.2021722,0.1851981,1.417673,-0.0186621,0,0,0,-0.2160645,1.400844,-0.01937803,-0.190455,0.5100291,0.0115933,0.08848804,0.4838511,0.06378309,-0.2876415,0.05283141,-0.01508687,0.1903519,0.0467118,0.05420712
0.0114731,0,0,0,-0.2992568,1.40885,0.1262795,0.1781744,1.396417,0.2047833,0.1902338,1.418602,-0.01520538,0,0,0,-0.2115293,1.399982,-0.01970521,-0.1892524,0.5093044,0.01320014,0.08929497,0.4834566,0.06456131,-0.2871317,0.05323446,-0.01499574,0.1905811,0.04630256,0.05418718
